Sr.No.,FIR No.,IPC,Date of Offence,Date of FIR,PoliceStation,Day,Time of Offence,First Vehicle,Fatalities,Serious,Minor,Second Vehicle,Fatalities,Serious,Minor,Type of Collision,Hit and Run,Intersection/Mid Block,Maneuver type as per FIR,Place/Location of Occurrence,Total Fatalities,Total Serious ,Total Minor,Latitude,Longitude,Road Name ,Road Number,Rural/Urban
1,3,"283,304-A,427,337 ",02/01/17,02/01/17,Kiratpur Sahib,Monday,12:45,Bus/Truck,0,0,0,Car/Jeep/Van,2,2,0,Hit from Back,0,Intersection,Rough Driving,Bharatgarh,2,2,0,31.098747,76.613475,NH,NH-205,Rural
2,4,"279,304-A",06/01/17,07/01/17,Kiratpur Sahib,Friday,0:00,Unknown,0,0,0,Pedestrian,1,0,0,Hit and Run,1,Mid Block,Over Speeding,Dolowal,1,0,0,31.1844102,76.572122,NH,NH-205,Rural
3,8,"279,304-A,427",20/01/17,21/01/17,Kiratpur Sahib,Friday,20:30,Car/Jeep/Van,0,0,0,Two Wheeler,2,0,0,Hit and Run,1,Intersection,Over Speeding,Sarsa Nangal,2,0,0,31.061886,76.599794,NH,NH-205,Rural
4,11,"279,304-A",20/01/17,22/01/17,Kiratpur Sahib,Friday,11:00,Two Wheeler,0,0,0,Pedestrian,1,0,0,Head On,0,Mid Block,Over Speeding,Hardonimoh,1,0,0,31.160744,76.590448,Link Road,Link Road,Rural
5,18,"279,304-A,427",01/02/17,03/02/17,Kiratpur Sahib,Wednesday,19:40,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit from Back,0,Mid Block,Over Speeding,Dolowal,1,0,0,31.1844102,76.572122,NH,NH-205,Urban
6,25,"279,304-A,427",23/02/17,23/02/17,Kiratpur Sahib,Thursday,15:00,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head On,0,Intersection,Over Speeding,Sarsa Nangal,1,0,0,31.061886,76.599794,NH,NH-205,Rural
7,27,"279,304-A,427",05/03/17,06/03/17,Kiratpur Sahib,Sunday,20:30,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Hit and Run,1,Mid Block,Over Speeding,Tirak Karma,1,0,0,31.147479,76.570173,Link Road,Link Road,Rural
8,29,"279,304-A,427",02/03/17,08/03/17,Kiratpur Sahib,Thursday,4:45,Two Wheeler,0,0,0,Two Wheeler,1,0,0,Head On,0,Mid Block,Over Speeding,Kalyanpur,1,0,0,31.1702827,76.5713996,NH,NH-205,Rural
9,30,"279,304-A",12/03/17,13/03/17,Kiratpur Sahib,Sunday,19:00,Two Wheeler,0,0,0,Pedestrian,1,0,0,Head On,0,Mid Block,Over Speeding,Massewal,1,0,0,31.2068993,76.6081615,NH,NH-205,Rural
10,34,"279,337,304-A,427",27/03/17,28/03/17,Kiratpur Sahib,Monday,18:30,Bus/Truck,0,0,0,Two Wheeler,1,1,0,Head On,0,Mid Block,Over Speeding,Dehni,1,1,0,31.2057203,76.60279024,NH,NH-205,Rural
11,43,"283,304-A,427",21/04/17,21/04/17,Kiratpur Sahib,Friday,20:15,Two Wheeler,1,0,0,Two Wheeler,1,1,0,Head On,0,Intersection,Over Speeding,Bharatgarh,2,1,0,31.098747,76.613475,NH,NH-205,Rural
12,45,"279 ,337,427",25/04/17,28/04/17,Kiratpur Sahib,Tuesday,17:45,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Head On,1,Intersection,Over Speeding,sarai hotal Bharatgarh,0,1,0,31.098747,76.613475,NH,NH-205,Rural
13,52,"279, 337",01/04/17,21/05/17,Kiratpur Sahib,Saturday,16:00,Car/Jeep/Van,0,1,0,Pedestrian,0,1,0,Hit from Side,0,Mid Block,Over Speeding,bara pind,0,2,0,31.1048637,76.6041313,NH,NH-205,Rural
14,56,"279, 337, 338",24/05/17,26/05/17,Kiratpur Sahib,Wednesday,6:30,Bus/Truck,0,0,0,Pedestrian,0,1,0,Head On,0,Intersection,Over Speeding,Kiratpur sahib ,0,1,0,31.1870057,76.5648956,SH,SH-22,Urban
15,57,"279 ,337,427",26/05/17,28/05/17,Kiratpur Sahib,Friday,0:00,Bus/Truck,0,0,0,Two Wheeler,0,1,0,Hit from Back,1,Mid Block,Over Speeding,sarai hotal Bharatgarh,0,1,0,31.0865387,76.6059989,NH,NH-205,Rural
16,75,"279 ,337,427",28/07/17,28/07/17,Kiratpur Sahib,Friday,0:00,Bus/Truck,0,0,0,Car/Jeep/Van,0,0,0,Hit from Back,1,Mid Block,Over Speeding,Dubeta morh Bhartgarh ,0,0,0,31.0883283,76.6069211,NH,NH-205,Rural
17,77,"279 ,337,338",04/08/17,07/08/17,Kiratpur Sahib,Friday,9:00,Two Wheeler,0,0,0,Pedestrian,0,1,0,Hit and Run,1,Intersection,Over Speeding,bus stand kiratpur sahib ,0,1,0,31.1870057,76.5648956,SH,SH-22,Urban
18,78,"279 ,304-A ,427 ",12/08/17,12/08/17,Kiratpur Sahib,Saturday,19:30,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit and Run,1,Intersection,Over Speeding,bus stand kiratpur sahib ,1,0,0,31.1870057,76.5648956,SH,SH-22,Urban
19,79,"279 ,337,427",06/08/17,15/08/17,Kiratpur Sahib,Sunday,5:40,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Hit and Run,1,Intersection,Over Speeding,Sarsa Nangal,0,1,0,31.0618855,76.599794,NH,NH-205,Rural
20,81,"279 ,304-A ,337 ,427",20/08/17,21/08/17,Kiratpur Sahib,Sunday,16:30,Bus/Truck,0,0,0,Two Wheeler,1,0,1,Hit and Run,1,Mid Block,Over Speeding,bara pind,1,0,1,31.1048637,76.6041313,NH,NH-205,Rural
21,82,"279 ,304-A  ,427",22/08/17,26/08/17,Kiratpur Sahib,Tuesday,9:30,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Hit and Run,1,Mid Block,Over Speeding,dehni,1,0,0,31.2057203,76.60279024,NH,NH-205,Rural
22,87,"279 ,304-A ,337,427",30/08/17,30/08/17,Kiratpur Sahib,Wednesday,12:00,Bus/Truck,0,0,0,Two Wheeler,1,1,0,Hit and Run,1,Mid Block,Over Speeding,Bharatgarh,1,1,0,31.1035743,76.6039256,NH,NH-205,Rural
23,88,"279,304-A,",31/08/17,01/09/17,Kiratpur Sahib,Thursday,19:45,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit and Run,1,Mid Block,Over Speeding,Bharatgarh,1,0,0,31.1035743,76.6039256,NH,NH-205,Rural
24,90,"283,304-A,427",08/09/17,09/09/17,Kiratpur Sahib,Friday,23:40,Bus/Truck,0,0,0,Car/Jeep/Van,1,0,0,Head On,0,Mid Block,Over Speeding,Dhaddi,1,0,0,31.1517994,76.579456,NH,NH-205,Rural
25,117,"279,304-A,337,427",03/12/17,05/12/17,Kiratpur Sahib,Sunday,12:00,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,1,Hit from Back,1,Mid Block,Over Speeding,Gardla,1,0,1,31.1214802,76.5773255,Link Road,Link Road,Rural
26,119,"279, 304-A",06/12/17,06/12/17,Kiratpur Sahib,Wednesday,10:00,Bus/Truck,0,0,0,Pedestrian,1,0,1,Hit and Run,1,Mid Block,Over Speeding,Dubeta morh Bhartgarh ,1,0,1,31.0883283,76.6069211,NH,NH-205,Rural
27,12,"279,337,338",27/01/17,27/01/17,Chamkaur Sahib,Friday,18:15,Two Wheeler,0,0,0,Pedestrian,0,1,0,Hit Pedestrian,0,Intersection,Over Speeding,Near T Point Vill Chonta ,0,1,0,30.9423508,76.4895865,ODR,ODR-11,Rural
28,24,"279,304-A,427",03/02/17,03/02/17,Chamkaur Sahib,Friday,21:15,Bus/Truck,0,0,0,Two Wheeler,2,0,0,Head on,0,Intersection,Over Speeding,Near Canel Vill Bhakumajra,2,0,0,30.9294554,76.472594,ODR,ODR-11,Rural
29,27,"279,304-A,337",11/03/17,12/03/17,Chamkaur Sahib,Saturday,18:30,Unknown,0,0,0,Two Wheeler,2,0,0,Unknown,1,Intersection,Over Speeding,sirhind canal near vill Bhakumajra ,2,0,0,30.9018858,76.4376893,ODR,ODR-18,Rural
30,30,"279, 337, 338, 427",12/03/17,14/03/17,Chamkaur Sahib,Sunday,13:30,Bus/Truck,0,0,0,Two Wheeler,0,1,1,Head on,1,Mid Block,Over Speeding,Near Vill Pipal majra ,0,1,1,30.8639651,76.4300016,Link Road,Link Road,Rural
31,34,"279,337,304-A,427",26/03/17,26/03/17,Chamkaur Sahib,Sunday,17:00,Bus/Truck,0,0,0,Two Wheeler,1,0,1,Head on,0,Intersection,Over Speeding,Near T Point Vill Chonta ,1,0,1,30.9321319,76.4410757,ODR,ODR-11,Rural
32,40,"279, 304-A ,427",08/04/17,09/04/17,Chamkaur Sahib,Saturday,22:30,Car/Jeep/Van,0,0,0,Two Wheeler,2,0,0,Unknown,0,Intersection,Over Speeding,Shirhind calal near kiriafgana ,2,0,0,30.9023889,76.3613235,Link Road,Link Road,Rural
33,42,"279,304-A,427",13/04/17,14/04/17,Chamkaur Sahib,Thursday,20:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Head on,0,Mid Block,Over Speeding,Vil Rurki heraon,1,0,0,30.8456178,76.4314558,ODR,ODR-2,Rural
34,43,"279,304a,427",20/04/17,21/04/17,Chamkaur Sahib,Thursday,20:00,Tractor-Trolley,0,0,0,Two Wheeler,1,0,0,Head on,0,Mid Block,Over Speeding,"Railon road,Ropar",1,0,0,30.9324228,76.3512468,Link Road,Link Road,Rural
35,74,"279,337,304a,427",07/07/17,08/07/17,Chamkaur Sahib,Friday,21:45,Bus/Truck,0,0,0,Two Wheeler,2,0,0,Hit from back,1,Mid Block,Over Speeding,Sirhind canal near chamkaur sahib rest house ,2,0,0,30.8978024,76.3963902,Link Road,Link Road,Rural
36,78,"279,337,388",15/07/17,23/07/17,Chamkaur Sahib,Saturday,14:30,Two Wheeler,0,0,0,Pedestrian,0,1,0,Hit from back,0,Intersection,Over Speeding,vill tapprianamar singh ,0,1,0,30.9347683,76.3292825,Link Road,Link Road,Rural
37,113,"279,427,304-A",28/10/17,29/10/17,Chamkaur Sahib,Saturday,19:25,Car/Jeep/Van,0,0,0,Two Wheeler,1,1,0,Head on,0,Mid Block,Over Speeding,near vill gagon,1,1,0,30.8899325,76.4510666,Link Road,Link Road,Rural
38,115,"279,388",24/10/17,01/11/17,Chamkaur Sahib,Tuesday,21:00,Two Wheeler,0,0,0,Two Wheeler,0,1,0,Head on,0,Intersection,Over Speeding,near Vill mane majra ,0,1,0,30.8915604,76.4145124,ODR,ODR-2,Urban
39,4,"279,337,338",01/12/17,07/01/18,Chamkaur Sahib,Friday,19:30,Bus/Truck,0,0,0,Two Wheeler,0,0,0,Head on,0,Intersection,Over Speeding,near vill Mahla ,0,0,0,30.932717,76.472598,ODR,ODR-11,Rural
40,8,"279, 337, 338, 427",28/10/17,11/01/18,Chamkaur Sahib,Saturday,15:20,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,1,Head on,0,Intersection,Over Speeding,sirhind canal vill Dholran,0,1,1,30.9031199,76.4760063,Link Road,Link Road,Rural
41,9,"279, 337, 338, 427",07/01/17,10/01/17,City Ropar,Saturday,12:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,0,1,Head on,0,Mid Block,Over Speeding,"Near PWD Colony,Ropar ",0,0,1,30.96928,76.522234,ODR,ODR-11,Urban
42,19,"279, 338",25/01/17,28/01/17,City Ropar,Wednesday,21:00,Car/Jeep/Van,0,0,0,Pedestrian,0,0,1,Head on,0,Intersection,Over Speeding,"Civil Hospital ,Road Ropar ",0,0,1,30.965586,76.524186,ODR,ODR-11,Urban
43,24,"279, 304-A ,427",11/02/17,11/02/17,City Ropar,Saturday,15:30,Unknown,0,0,0,Cyclist,1,0,1,Hit Cyclist,1,Intersection,Over Speeding,"Taprian T Point ,Ropar ",1,0,1,30.953586,76.529409,ODR,ODR-22,Urban
44,40,"279, 337, 427",11/03/17,14/03/17,City Ropar,Saturday,20:10,Tractor-Trolley,0,0,0,Car/Jeep/Van,0,0,1,Head on,0,Intersection,Over Speeding,"Bachat Chowk, Ropar",0,0,1,30.977909,76.520266,ODR,ODR-11,Urban
45,57,"279, 304-A ",28/03/17,02/04/17,City Ropar,Tuesday,16:30,Car/Jeep/Van,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,"Railon road,Ropar",1,0,0,"30.947276, ",76.518252,ODR,ODR-20,Urban
46,61,"279, 304-A ,427",11/04/17,12/04/17,City Ropar,Tuesday,23:15,Tractor-Trolley,0,0,0,Two Wheeler,1,0,0,Head on,0,Intersection,Over Speeding,"Near Miltray canteen,Ropar",1,0,0,"30.963473, ",76.532531,NH,NH-103A,Urban
47,64,"279, 337, 427",12/04/17,13/04/17,City Ropar,Wednesday,16:40,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Head on,1,Mid Block,Over Speeding,"Gilco velley,Ropar",0,1,0,30.964476,76.5745256,Link Road,Link Road,Rural
48,72,"279, 338, 427",11/04/17,28/04/17,City Ropar,Tuesday,19:30,Car/Jeep/Van,0,0,0,Two Wheeler,0,1,0,Hit from back,0,Intersection,Over Speeding,Near HMT Hotel Bela Road Ropar,0,1,0,30.957915,76.515149,ODR,ODR-11,Urban
49,73,"279, 304-A ,427",23/04/17,29/04/17,City Ropar,Sunday,15:45,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Head on,0,Intersection,Over Speeding,"Near Police line ,Ropar",1,0,0,30.940548,76.535527,NH,NH-205,Urban
50,80,"279, 337, 338, 427",13/05/17,13/05/17,City Ropar,Saturday,2:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,0,1,Head on,0,Intersection,Over Speeding,"Near Distict Jail ,Ropar",0,0,1,30.953127,76.507989,ODR,ODR-11,Urban
51,81,"279, 304-A ,427",13/05/17,13/05/17,City Ropar,Saturday,19:40,Bus/Truck,0,0,0,Two Wheeler,1,0,1,Head on,0,Intersection,Over Speeding,"Near Gurdwara sadawart,Ropar ",1,0,1,30.97697,76.535184,NH,NH-205,Urban
52,82,"279, 337, 427 ",09/05/17,15/05/17,City Ropar,Tuesday,14:00,Two Wheeler,0,0,0,Two Wheeler,0,0,1,Head on,0,Intersection,Over Speeding,"Near sai doctor ,College Road ropar",0,0,1,"30.972120,",76.519938,Muncipality Road,Muncipality Road,Urban
53,84,"279, 304-A ",22/05/17,22/05/17,City Ropar,Monday,11:20,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,Vill railon Kalan Ropar,1,0,0,"30.947276, ",76.518252,ODR,ODR-20,Urban
54,86,"279, 338, 427",18/04/17,24/05/17,City Ropar,Tuesday,19:00,Car/Jeep/Van,0,0,0,Two Wheeler,0,0,1,Sideswipe ,0,Intersection,Over Speeding,Near Govt. college Ropar,0,0,1,"30.973622,",76.521161,ODR,ODR-11,Urban
55,88,"279, 427",31/05/17,01/06/17,City Ropar,Wednesday,23:00,Bus/Truck,0,0,0,Other,0,0,0,Hit Fixed Object,0,Intersection,Over Speeding,"Nangal Chownk Pump,ropar",0,0,0,"30.962366,",76.533056,NH,NH-103A,Urban
56,89,"279,304-A,427",02/06/17,02/06/17,City Ropar,Friday,19:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Head on,0,Intersection,Over Speeding,"Near New Bridge ,Ropar",1,0,0,30.971887,76.531537,Muncipality Road,Muncipality Road,Urban
57,95,"279, 304-A ",05/06/17,12/06/17,City Ropar,Monday,8:30,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,0,Intersection,Over Speeding,"New Bus/Truck stand,Ropar",1,0,0,"30.982347, ",76.522878,NH,NH-103A,Urban
58,96,"279, 337, 338, 427",10/06/17,12/06/17,City Ropar,Saturday,14:40,Car/Jeep/Van,0,0,0,Two Wheeler,0,0,1,Head on,0,Intersection,Over Speeding,"Near new byepass ,Ropar",0,0,1,"30.947276, ",76.518252,ODR,ODR-20,Urban
59,107,"279, 304-A, 427",27/06/17,27/06/17,City Ropar,Tuesday,19:00,Unknown,0,0,0,Car/Jeep/Van,2,0,0,Sideswipe ,1,Mid Block,Over Speeding,"Morinda chownk,Byepass Ropar",2,0,0,30.964385,", 76.534714",Link Road,Link Road,Rural
60,110,"279, 337, 427",13/06/17,30/06/17,City Ropar,Tuesday,22:00,Car/Jeep/Van,0,0,0,Other,0,1,0,Sideswipe ,0,Intersection,Over Speeding,"Near Forest Dept  Office, Ropar ",0,1,0,30.978542,76.526784,Muncipality Road,Muncipality Road,Urban
61,115,"279, 304-A",29/06/17,10/07/17,City Ropar,Thursday,20:00,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,0,Intersection,Over Speeding,"Nera Miltary canteen ,Ropar ",1,0,0,30.963473,76.532531,NH,NH-103A,Urban
62,121,"279, 304-A, 427",15/07/17,15/07/17,City Ropar,Saturday,11:00,Unknown,0,0,0,Two Wheeler,1,0,0,Head on,1,Intersection,Over Speeding,"Near IIT river bridge, Ropar",1,0,0,30.974788,76.498955,ODR,ODR-20,Urban
63,148,"279, 304-A",24/08/17,06/09/17,City Ropar,Thursday,7:00,Two Wheeler,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Intersection,Over Speeding,Near railway station Ropar,1,0,0,30.971962,76.532885,NH,NH-103A,Urban
64,169,"279, 304-A, 337",07/10/17,08/10/17,City Ropar,Saturday,20:00,Unknown,0,0,0,Pedestrian,1,0,0,Hit Pedestrian,1,Intersection,Over Speeding,Near T-Point DC office Ropar,1,0,0,30.982118,76.519865,ODR,ODR-11,Urban
65,173,"279, 304-A, 427",11/10/17,12/10/17,City Ropar,Wednesday,20:30,Two Wheeler,0,0,0,Two Wheeler,1,0,0,Sideswipe ,0,Mid Block,Over Speeding,Ropar Chamkaur Sahib link road Near bhai Himat singh Guruduara Ropar,1,0,0,"30.954205, ",76.52941,ODR,ODR-22,Urban
66,174,"279, 304-A, 427, 337",14/10/17,14/10/17,City Ropar,Saturday,8:15,Bus/Truck,0,0,0,Two Wheeler,1,0,0,Sideswipe ,1,Intersection,Approaching from wrong side,Near By pass ropar,1,0,0,"30.947276, ",76.518252,ODR,ODR-20,Urban
67,178,"279, 304-A, 427",18/10/17,19/10/17,City Ropar,Wednesday,20:30,Unknown,0,0,0,Two Wheeler,1,0,0,Hit from back,1,Intersection,Over Speeding,Vill Nanakpura turn Rupnagar,1,0,0,30.97696,76.535184,NH,NH-205,Urban
68,180,"279, 304-A, 427",19/10/17,20/10/17,City Ropar,Thursday,13:30,Car/Jeep/Van,0,0,0,Two Wheeler,1,0,0,Hit from back,0,Intersection,Over Speeding,Near PS Sadar Ropar,1,0,0,30.97695,76.535187,NH,NH-205,Urban
69,183,"279, 304-A, 427",24/10/17,24/10/17,City Ropar,Tuesday,8:30,Bus/Truck,0,0,0,Pedestrian,1,0,0,Hit from back,0,Intersection,Over Speeding,New Shampura colony Rupnagar,1,0,0,30.964594,76.506385,ODR,ODR-20,Urban
70,189,"279, 337, 338, 427",31/10/17,02/11/17,City Ropar,Tuesday,18:15,Tractor-Trolley,0,0,0,Two Wheeler,0,1,0,Hit from back,1,Mid Block,Over Speeding,Near drug addiction centre katli road Rupnagar,0,1,0,30.9446324,76.5245254,ODR,ODR-08,Urban
